club,last_name,first_name,position,base_salary,guaranteed_compensation,height
TOR,Mavinga,Chris,D,265008,300692,207
TOR,Moor,Drew,D,246750,261750,184
TOR,Morgan,Ashtone,D,100008,101508,208
TOR,Morrow,Justin,D,210000,226667,206
TOR,Osorio,Jonathan,M,191763,200237,177
TOR,Pais,Mark,GK,65004,65004,194
TOR,Ricketts,Tosaint,F,180000,193167,181
TOR,Vazquez,Victor,M,630000,700000,178
TOR,Zavaleta,Eriq,D,102850,133450,187
VAN,Adekugbe,Samuel,D,80000,85000,208
VAN,Bolanos,Christian,M,250000,253500,175
VAN,Bustos,Marco,M,65625,70475,200
VAN,Davies,Alphonso,M,65000,65000,209
VAN,de Jong,Marcel,D-M,140000,140000,175
VAN,Dean,Christian,D,121000,202000,180
VAN,Edgar,David,D,175000,183833,208
VAN,Flores,Deybi,M,66000,71885,195
VAN,Froese,Kianz,M,69300,73800,197
VAN,Greig,Kyle,F,65004,66849,183
VAN,Harvey,Jordan,D,180000,180000,209
VAN,Hurtado,Erik,F/M,125000,131250,183
VAN,Jacobson,Andrew,M,150000,175000,185
VAN,Laba,Matias,M,725000,885500,182
VAN,Levis,Brett,D,65000,67500,202
VAN,McKendry,Ben,M,65000,65000,210
VAN,Mezquida,Nicolas,M-F,120000,120000,181
VAN,Montero,Fredy,F,1400000,1800000,194
VAN,Nerwinski,Jake,D,65004,65004,171
VAN,Ousted,David,GK,360000,378933,183
VAN,Parker,Tim,D,80850,99600,190
VAN,Reyna,Yordy,M-F,440000,533700,183
VAN,Richey,Spencer,GK,65004,65004,177
VAN,Rosales,Mauro,M,65004,65004,181
VAN,Seiler,Cole,D,54075,54075,189
VAN,Shea,Brek,M-D,625000,670000,181
VAN,Tchani,Tony,M,275000,308333,203
VAN,Techera,Cristian,M,352000,377000,175
VAN,Teibert,Russell,M,126500,194000,207
VAN,Tornaghi,Paolo,GK,80000,80000,166
VAN,Waston,Kendall,D,350000,368125,199
VAN,Williams,Sheanon,D,175000,184000,205
,Babouli,Mo,F,54075,54075,193
,Ramajo,David Mateos,D,420000,453333,203
